1991-03-30	13.096	1	8.771	1	21.273	1	6.811	1	18.397	1	14.142	1
1991-03-31	6.450	1	17.686	1	5.937	1	15.841	1	6.746	1	7.268	1
1991-04-01	15.613	1	25.671	-2	8.095	-2	10.581	1	20.686	1	28.693	1
1991-04-02	19.428	1	14.917	1	29.406	1	6.165	1	26.462	1	12.240	1
1991-04-03	8.606	1	7.945	1	12.712	1	25.403	-2	9.518	-2	19.540	-2
1991-04-04	20.973	-2	14.310	-2	18.694	-2	6.570	-2	6.490	-2	10.149	-2
1991-04-05	22.010	-2	15.690	-2	12.854	1	19.639	1	16.330	1	12.494	1
1991-04-06	24.859	1	22.475	1	11.102	1	19.361	1	18.130	1	26.878	1
1991-04-07	23.236	1	12.198	1	29.504	1	7.952	1	15.453	1	23.929	1
1991-04-08	8.800	1	17.224	1	5.980	1	21.705	1	24.114	-2	19.326	1
1991-04-09	26.887	1	12.844	1	22.382	1	19.859	1	19.497	1	16.405	1
1991-04-10	25.999	1	28.617	1	16.852	1	21.604	1	6.517	1	22.537	1
